name,album,artist,id,popularity,mood
I'm Your Man,And Nothing Hurt,Spiritualized,5FRWe0PkPj4CQ4fvibzTEh,32,Sad
I've Been Fine,LoveLaws,TT,0KyPBZ6PAxzpcAobqxhaHu,23,Sad
ID8,ID8,Dimitri Vangelis & Wyman,2jxfHzOYVLmGKejNRHvqoc,51,Happy
If You Believe,Unification,Yonder Dale,0QurRfrHz1RGbdPpTx7lLV,37,Calm
If You Think It's Love,Cheap Queen,King Princess,3iiL6merNpFNX1bny9sfvM,57,Sad
Images,Images,DeLange,4sqIHHGPprOZNdW5zMx36p,42,Calm
In This Moment,In This Moment,Lucas Delphy,7FORBAxm1qwuwbYo7Rtz42,51,Calm
Indigo,Indigo,LEFT.,2qoKkOBw3dAd8AlITOQ2Ca,49,Sad
Infinite Sustain,Infinite Sustain,Amaranth Cove,5AciiCKJKTLKRrAPSrKQy5,57,Calm
Ingénue,Ingénue,Eline Moss,6mgKP4yo57GTSMc3fJlyWm,55,Calm
Inside Of You,Every Man For Himself (Red Package),Hoobastank,6okaxit4V1bU6yIVVsP836,0,Energetic
Inside the Fire,Disturbed,Disturbed,1xHcapGIorRGVlBnWE7X4N,12,Energetic
Inside*,Inside*,Ton Snijders,3GuzB4BEWq3bhZM8YydysZ,8,Calm
Intermezzo No. 1 in E Minor,Intermezzo No. 1 in E Minor,Manuel Ponce,1HTYYXCKpMWiHRd7qIb6ui,7,Calm
Into Black,Blouse,Blouse,5d8pKJxoDlYX2SoFR6RCsm,47,Sad
Isonoe,GLIESE,Job Roggeveen,4sP8BZIZKGVq6jHOSPF17A,23,Calm
It Takes Me Back,Hopeless Romantics,Emmrose,07FUh3cxCPNQFIIp8aSWCy,41,Sad
It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),Built From Scratch,X-Ecutioners,6Xb5klX1nnSUxoh2AyZd54,40,Energetic
It's My Fault,It's My Fault,Lolo Zouaï,3QP17SZh39ZVczQnopq9BE,54,Sad
Jealous,Jealous,Labrinth,4L2K7JKseFCBoHMZEAszW0,79,Sad
"John Wayne Gacy, Jr.",Illinois,Sufjan Stevens,2gFBh7NnEfSeBoZZDB5d2C,50,Sad
Juliens Journey,Juliens Journey,Reinhard Vanbergen,0DVw5GHPCUImZ8VmRdlbmx,33,Calm
Jupiter 4,Jupiter 4,Sharon Van Etten,64BirkPW9F4XgzoLAiOBCP,39,Sad
Just Can't Get Enough - Live in Hammersmith,Love In Itself.2 and Live Tracks,Depeche Mode,5LAdBsIfjzAsusjc6WSLmH,56,Happy
Just Look at You,432 Water Crystals,369,62X7ld1sa8RHl4zRtSvfHf,59,Calm
Just the Two of Us (feat. Bill Withers),Anthology,"Grover Washington, Jr.",1ko2lVN0vKGUl9zrU0qSlT,70,Happy
K.,K.,Rosie Carney,6vG1pcmNGdG6Vu62I9nLGL,58,Sad
Kangaroo (Remastered),It'll End In Tears (Remastered),This Mortal Coil,1HdIqEOl9MxoJNsz33VOvW,47,Sad
Kaolnite,Kaolnite,Burgundy Skies,4fItBSHKBcgKWixN1Idie5,50,Calm
Keep Going,Keep Going,Mark Milan,4Hhup3YZfajcC7O0DNbwCq,31,Calm
Kids In The Dark,Kids In The Dark,Bat For Lashes,2dqq3YMX6nlJKXhrjY5W4J,35,Sad
Killing In The Name,Rage Against The Machine - XX (20th Anniversary Special Edition),Rage Against The Machine,59WN2psjkt1tyaxjspN8fp,78,Energetic
Kinky Living,Clockdust,Rustin Man,4eMoWR7Lughvru6Rn97uPi,19,Sad
Kinky Love,Flesh Balloon,Pale Saints,3Uz3K1Ctq6MOIDqRddKHXo,46,Sad
Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,62LJFaYihsdVrrkgUOJC05,73,Happy
Kiss On My List - Remastered,Hall & Oates,Daryl Hall & John Oates,3Jrf9MHZZWx3cXBeMkZWUu,37,Happy
Kiss You All Over - Single Edit,Kiss You All Over,Isaac Elton,1wHkIswzW9zGCOLDBYbHFL,47,Energetic
Kite,Kite,YuMe,6a8U8DihiuewRpRQ2OOCVU,35,Calm
Klangfall - Piano Version,Klangfall (Piano Version),Joep Beving,4pWowM3xMkRYgHsIJDf61f,42,Calm
La Luz,Chapter I,City of the Sun,6iQ6AKHlGjQTrpZIqfOtyK,49,Calm
Last Time,Last Time,Johnning,7v3tuzPub1Qd490tiVddwF,54,Sad
Late in the Evening,One-Trick Pony,Paul Simon,2h23bjG8B3bcD47HBu6bHG,60,Happy
Laugavegur,Laugavegur,Dreyma,4nZSgFwgYUOyWcBX61JY6j,56,Calm
Lay Your Head On Me (feat. Marcus Mumford),Lay Your Head On Me (feat. Marcus Mumford),Major Lazer,0oB9964bp22Bmok0Dmxlzb,61,Happy
Let It Go,Chaos And The Calm,James Bay,13HVjjWUZFaWilh2QUJKsP,73,Sad
Let It Out,Xy Chelsea (Original Soundtrack),Jehnny Beth,72rHjyz3i7K90Hk1eF1f0c,38,Sad
Let's Go Crazy,Purple Rain,Prince,0QeI79sp1vS8L3JgpEO7mD,63,Happy
Lift Me Up (feat. Carla Monroe),Lift Me Up (feat. Carla Monroe),Oliver Heldens,0vK80mtYypq4dAwQelZ2Dh,65,Energetic
Light Year,Light Year,Evan Michael Brown,1C2JiKNMjv8FaZlrgwObBJ,51,Calm
Light Years,Light Years,The National,0dcKsPZVWa64MvnoCes49q,0,Sad
Lights Go Down,Lights Go Down,Mike Candys,2shD8wlebq8fDg6ChqOPkC,57,Energetic
Like The First Time - House Mix,Like The First Time,Isaac Elton,5ABnK6bOqbsIRVsrc1UBOt,50,Energetic
Like The Way I Do,Greatest Hits - The Road Less Traveled,Melissa Etheridge,38TXeCvUUqf3PeoPvnERV6,0,Happy
Like We Do,Like We Do,Fedde Le Grand,1Qf07UNBIu1XolBnl7XTi8,48,Energetic
Limitless,Limitless,Lucas Delphy,5QGNwI8U3o9mQg7RR3yOPj,54,Calm
Linger,Linger,No Vacation,7zWQ9qz0vAK75QBTGLZ0Wb,40,Sad
Listen to the Music,Toulouse Street,The Doobie Brothers,7Ar4G7Ci11gpt6sfH9Cgz5,77,Happy
Listening,In Love and Death,The Used,528rajP3OyhornDwrsQrt4,40,Energetic
Litost,Litost,Minxz,0bMcjygjhkTVB8T4r3xCde,22,Calm
Little Lion Man,Sigh No More (Benelux Edition),Mumford & Sons,1QTixxvaGxwe6GF8PBwAve,46,Happy
Little Talks,My Head Is An Animal,Of Monsters and Men,2ihCaVdNZmnHZWt0fvAM7B,78,Happy
Little Things,Sixteen Stone,Bush,29IRVQao62okE22TDamSnm,0,Energetic
Living,Reflection of Youth,EERA,4ytv5Yzyal3LzKyMjRXjse,31,Sad
"Lola - Live at Providence Civic Center, Providence, RI - September 1979",One for the Road (Live),The Kinks,3JbE6e17yvNdPggjPDrCyO,53,Happy
London Thunder,London Thunder,Foals,4gkoh2vAD57fGEITzteaUh,37,Sad
Lonely Boy,What's Wrong with This Picture?,Andrew Gold,6wGMLoEqD2k3RBXFHD0yUp,55,Happy
Long Way Down,Long Way Down (Deluxe),Tom Odell,1uVk6S6Fpkrmji0iTpgKEC,59,Sad
Lorelei,Treasure,Cocteau Twins,1MwGbyzRmPXWABLIdW8tzG,53,Sad
Los Feliz,Los Feliz,Search For Atlantis,0efOqjQkOgWPEZTzAZSB6j,49,Calm
Losing You,Human,Aquilo,5aFSzu0b7ccAYjTkbTNTsQ,50,Sad
Lost,Lost,Annelie,7nC2EOpMnpDT2DkvniimSm,64,Calm
Lost Moon,I Can Feel the Night Around Me,Nightlands,5QlL4Rxjw3MQbx8Xvs75ts,33,Sad
Love Is A Losing Game,Back To Black,Amy Winehouse,4IMBnBRqm9RALmLrRqfMor,0,Sad
Lovely Day,Lean on Me: The Best of Bill Withers,Bill Withers,0ACACkoHUwgfgY5CxVIL4N,67,Happy
Lunar Eclipse,Lunar Eclipse,Marc Torch,0n2X57zaddr0ODIxUb64Sx,50,Calm
"Ma mère l'oye, M.60 - For Piano Duet, M.60: 1. Pavane de la Belle au bois dormant",Jeux,Arthur Jussen,534nbCFk48DR1UQt2XlxSx,29,Calm
Machinehead,Bush Digital Collection,Bush,1iTzI4NSQNLIETWDJ1WNWi,0,Energetic
Mad About You,The Magnificent Tree,Hooverphonic,5drK2kTE2mrUdV33iHWyrx,62,Happy
Make Believe,Make Believe,Quintino,56oqWZUaA8ZmHQCH3lCRI3,59,Energetic
Malibu,Malibu,Matthew Harvey,3RlwtjeKhemCfiPvwMFozS,50,Calm
Marbles,The First Tindersticks Album,Tindersticks,4iVWQTuwKG4JKtGOjx6T9V,40,Sad
Me and Julio Down by the Schoolyard,Paul Simon,Paul Simon,6vxHp3CDNo0afgKGp2yi1E,73,Happy
Melancholé,Melancholé,Biba Dupont,3SdkYA8frHe3BMZsPVPrRq,34,Calm
Mercy - Live,Retrospective,Hilary Hahn,4BntWROKZB5E0Y0K3LoHSQ,0,Calm
Message In A Bottle - Remastered 2003,Reggatta De Blanc (Remastered),The Police,3bN4tg6rnNPy9GCkGhym4T,1,Happy
Midnight Sun,Midnight Sun,Nicky Romero,6qTP59Amjny78Qd8zayuNW,57,Energetic
Mil Sonidos,Mil Sonidos,Reina del Mar,11oVQ68B4PnVQHIY6svpXg,59,Calm
Mind-wanders,Journey to the unknown,Patrick Hamilton,4sYNRSlV9pGInYcbsC18Jz,32,Calm
Mindfulness,Mindfulness,Amoll,3EQPb4sdkNPCHb6AMyUTXj,29,Calm
Minus,Minus,Daniel Blumberg,5Z8onMr6EW2eNDamrDoWi5,0,Sad
Miss You - Remastered,Some Girls (Deluxe Version),The Rolling Stones,5pTWpY8l7B1XcQnijEFGFj,53,Happy
Misty Mornings,Misty Mornings,Wilson Trouvé,5FXnCOAkMUAf4QIS56MRQL,30,Calm
Momentum,Momentum,Monocle Twins,7Ln0DgKSrDG0ALbtNwGeml,52,Calm
Montana,Montana,Le Verne,1EyctTkkGJVS3UYTuy8YZM,49,Calm
Monumental,Monumental,Antuigo,6CKu6K0xvozAgFlQq44Z56,56,Calm
Morning Shimmer,Morning Shimmer,Vochey,24PDuLZfLOKtAgh4axr36e,49,Calm
Moulain (Revisited 432hz),Moulain (Revisited 432hz),Steven Vrancken,0zNqfg3MpUGku4T6h2Pmab,30,Calm
Movies,Movies,Weyes Blood,4ZYFWXoHCIdsdgUdOMK9fr,30,Sad
Mr. Blue Sky,Out of the Blue,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,82,Happy
Mr. Jones,August And Everything After,Counting Crows,5DiXcVovI0FcY2s0icWWUu,77,Happy
Mudshovel,Dysfunction,Staind,6264zKFgXM13JuRBX4MMyD,65,Energetic
"Murder Song (5, 4, 3, 2, 1) - Acoustic",All My Demons Greeting Me As A Friend (Deluxe),AURORA,6MM22AtXB7I5gfTErMF0mJ,55,Sad
My Favourite Game,Best Of,The Cardigans,4LpOPF5RXZhS1GLzclhyaT,0,Energetic
My Hero,Greatest Hits,Foo Fighters,7u5dBtASrtOuBTTZjJrvuJ,60,Energetic
My Own Worst Enemy,A Place In The Sun,Lit,33iv3wnGMrrDugd7GBso1z,72,Energetic
My Sharona,Get The Knack,The Knack,1HOMkjp0nHMaTnfAkslCQj,74,Happy
My Way - Marcus Santoro Remix,My Way (ft. Alice Berg) [Marcus Santoro Remix],Nicky Romero,29pQasEiyy3Otgq55dzyTt,0,Energetic
Mykki,LoveLaws,TT,1Lq9ieTRd9TtXXBh5y63E6,25,Sad
Nazareth,Nazareth,Matteo Myderwyk,2cRD4yq8e8wd6PxS0zhuW3,22,Calm
Need You - Ed. & Gustav Munk Remix,Need You (Remixes),Faustix,4cLXtRF6cIFGcuid2OLyUU,52,Happy
Never Be Lonely (feat. Envy Monroe),Never Be Lonely (feat. Envy Monroe),Blasterjaxx,5vckEy9NZ6kirDU4UX4bVl,56,Energetic
Never Letting Go,Never Letting Go,Audien,5llPdGZJjJFJv9aL6ZaiLY,58,Happy
Never My Love,Voices In The Sky,Isobel Campbell,4zRkmGHVgGGnJMhemMXD6I,37,Sad
Night,Night,Wilson Trouvé,7D04SRPxcqHXjoK0YFPuAq,31,Calm
Night Moves,Night Moves,Bob Seger,6UBjSnyP1O5W5ndJoO9vUk,71,Happy
Night Surrender,Night Surrender,DeLange,0kox8HaEK0EfeWcNVTOKTy,38,Calm
Night on Earth,Night on Earth,Jerkcurb,2OAOS8qkuKu5Kd8TvA5BAA,38,Sad
No More 54,No More 54,Dada Life,7LgkgNtOYgWfSJsGgDXFop,46,Energetic
No One Knows,Songs For The Deaf,Queens of the Stone Age,0melIwOKh1JH4RjI1Is10w,36,Energetic
No Time To Die,No Time To Die,Billie Eilish,73SpzrcaHk0RQPFP73vqVR,82,Sad
No Woman,Light Upon the Lake,Whitney,1CLmFKW99S8eJrebO3GB04,66,Sad
Nobody,Nobody,Mac DeMarco,46SWSNRB3oAAOu21Apj22z,50,Sad
North,Solo (1*),Ton Snijders,3AtuVA6OJB7ZxBbMfA5qYx,26,Calm
North Captiva,North Captiva,Lundegard,32dZxkZtsF5Vt3PrJQuV2i,48,Calm
Not Alone,Not Alone,Otto Knows,7tx0NDsCViutjOyd1c4A28,44,Happy
Nowhere Kids,Shapeshifter,Smile Empty Soul,08EI81e55Lcqg2ZelJOXcG,36,Energetic
Oceans,Oceans - EP,Seafret,7Cia4WzapwjMr0NUQF8vf3,61,Sad
October Rain,Recollections Vol. 4,Various Artists,2jdeYpaoWR0VMIyKrgQMQE,36,Calm
Old Rain on a New Day,Celestial Siren,Cora Zea,5P8BZ67Vw2CUwAYi12yvYj,54,Calm
Older Than I Am,Three. Two. One.,Lennon Stella,15VDHAMS4JCLziCjNkmQl1,66,Sad
On Another Ocean (January / June),On Another Ocean (January / June) [Edit],Fleet Foxes,2fgMzSoDaPrU4EYsrkAwVn,0,Sad
On My Way (feat. Jordan Kaahn),On My Way (feat. Jordan Kaahn),Robbie Rivera,0kDTkI3VN3LEObv3v3ehhY,48,Happy
One More Night,One More Night,Labi Ramaj,0Ov2L3hgjc5TlxKuBpKOQK,41,Energetic
One Night - D.O.D Remix,One Night (D.O.D Remix),Cedric Gervais,5Q0VxlFh80F3LmbGnuDE4M,41,Energetic
One Step Closer,Hybrid Theory,Linkin Park,61fUybL3XS40gcffnnNPoX,54,Energetic
Only,Only,RY X,0yfd3MSq6JEsNxOzSLJR7g,0,Sad
Only You,We Were Here,Joshua Radin,2ZaYFNn1YQuLSVdHhanr4Q,55,Sad
Open Fields,Open Fields,Faelt,24CJS73HBvYtVguUZBnyAn,39,Calm
Open Skies,Open Skies,Lost Horse Mine,5bATh5zpKb6uauocsl0XRM,52,Calm
Orbits,Orbits,Halfway Escape,6jFX2sHOzh7tpIIOomlrqJ,33,Calm
Our Lady of Sorrows,"I Brought You My Bullets, You Brought Me Your Love",My Chemical Romance,46mPWQpvSFkXrr5nWoWW74,50,Energetic
Out Of Control,The Reason,Hoobastank,2Uk3uky365BBGidUpOtKvw,0,Energetic
Out Of Control - Pat Vocal Mix,Out Of Control EP,Lupe Fuentes,6wCsrMyI3DavGvodBx8A7h,43,Energetic
Out of Control,Blind Spot,Lush,13i7d4s5EkgOIDHdzM0R4w,0,Sad
Out of the Deep,Out Of The Deep,Olivia Belli,6HrPFcVFz9wTBqqIrpJ8iB,45,Calm
Outside,Outside,MorMor,7Cx3kiPstZOSKAqTe3LtEi,51,Sad
Over My Head (Better Off Dead),Does This Look Infected?,Sum 41,3SO0vfryYv381w1ImgWONG,49,Energetic
Pain,A Deeper Understanding,The War On Drugs,59P1nrdEImkAKa1nyW9X2e,60,Sad
Panoramic Feelings (Piano Version),Panoramic Feelings (Piano Version),LudoWic,3hxqWxFfmbIYcrV0e7wSyL,33,Calm
Papercut,Hybrid Theory (Bonus Edition),Linkin Park,1Vej0qeQ3ioKwpI6FUbRv1,73,Energetic
Paperthin Hymn,Never Take Friendship Personal,Anberlin,6VSmHLLvYAAkzrYFT3LloU,53,Energetic
Parabel,Parabel,Matteo Myderwyk,4IrzpCIP60bro2wkBq5dIi,22,Calm
Paradise,Mylo Xyloto,Coldplay,6nek1Nin9q48AVZcWs9e9D,80,Happy
Paralyzer,Them vs. You vs. Me,Finger Eleven,6k1njNBYUIQgWJLG4ed26y,0,Energetic
Pass The Hours,Pass The Hours,MorMor,4EVpdoFt3L6sAa4hivmWz9,54,Sad
Path to Serenity,Path to Serenity,Arya Shae,6FI69Qkt6C2yBTVLC8zq34,54,Calm
People Are Strange - Festival Mix,People Are Strange (Incl. Festival Mix),KAAZE,5b61rcrjF6JG7yq0RRaOLh,51,Energetic
People Help the People,Birdy (Deluxe Version),Birdy,6XRNCAnxJIB1p4RPdFVSq0,58,Sad
Petrichor,Petrichor,Cecelya,22KKy6ftT0i4nyGNCbwc1B,54,Calm
"Piano Sonata No. 14 In C Sharp Minor, Op. 27-2 1st Mvt: Adagio Sostenuto",Beethoven Piano Sonatas,Ludwig van Beethoven,4QNjuUkLHj47tEXgA6TFc3,30,Calm
Pierre,Virgule,Hicham Chahidi,1qlVrqeX158nz91Z72lzaa,35,Calm
Pink Rupture,Pink Rupture,Kornum & Karma,3L47u91Y7YIGPpLPBrulh0,51,Happy
Placidity,Placidity,Estado De Calma,1XtkmIXg2o5SqOrNI8Szvk,50,Calm
Planet,PLANET,Sofiane Pamart,1gIZhNdfbkGJ2iyOZJmW9O,0,Calm
Play The Ghost,Play The Ghost,Sarah Davachi,0nL2bTth1UVQHWDDumMm3f,31,Sad
Poem,Welcome,Taproot,7mQwxVogsnpR3h6AJLQLlR,57,Energetic
Points of Authority,Hybrid Theory,Linkin Park,04mlpyRplis2yvf18EwaeN,45,Energetic
Polyamorous,Breaking Benjamin: Digital Box Set,Breaking Benjamin,1OvDGGu8KDbchlJTlM48Mr,37,Energetic
Pour Les Oiseaux,Des Plumes Dans La Tête,Sylvain Chauveau,4NFa9tjhONF6lnu4SRbfG9,0,Calm
Prayer Of The Refugee,Endgame / Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness,Rise Against,3wTyLh0vhP3dN5yv0Mti17,0,Energetic
Prelude,Prelude,Marynka,1QmdL4qnNkm8FDuseRMf21,30,Calm
Prelude 6 - Pt. 1,Voices,Max Richter,2R7BzSG2pPB99uJbU3lLmK,55,Calm
Prelude in F,Prelude in F,Alexander Motovilov,6CaQoqHFR0naK53v3jNGUT,19,Calm
Presence,Presence,Van Stiles,02QoKc20zzH9A8mf25NfPq,49,Calm
Pressure,Pressure,Seth Hills,7f2d3p6nzGFR6874f0E7E7,49,Energetic
Promise,Horrorscope,Eve 6,5mqEL5pgnDCcWtTWpAofIV,48,Energetic
Pumped Up Kicks,Torches,Foster The People,7w87IxuO7BDcJ3YUqCyMTT,84,Happy
Quick Canal (W/ Laetita Sadier),Logos,Atlas Sound,2mJhNvt2dDCfcNn8IZg6sF,42,Sad
Quiet Room,Music For Mindfulness,Various Artists,5uTfZTuLLGbq1qFYwzg7jX,0,Calm
"Quiet, The Winter Harbor",Still EP,Mazzy Star,1OArWxrw689jZXaJzSErbh,37,Sad
Raven's Feather - Piano Solo,Raven's Feather (Piano Solo),Nina June,7sBlA4bK7gpf2H42K6Y0H3,34,Calm
Rayons de soleil,Rayons de soleil,Marlies du Mosch,13SBuUaDElB4vowkW6nQxk,18,Calm
Reality,Reality EP,Chocolate Puma,3sqyZAk7dUY3U4ApoJcRzJ,42,Happy
Rebuscano,Rebuscano,Olivia Belli,55VX26X342cWBM7akigws7,37,Calm
Recording 15,Living Water,Shannon Lay,1vNfYCzcCJz0FY7MVVA9lM,60,Sad
Reinventing Your Exit,They're Only Chasing Safety,Underoath,591vJuuep0gfPhx9p8WPD5,57,Energetic
Remains,Remains,Dries Beheydt,288oxP29Qe5FikFIc1b1Gd,32,Calm
Renee's Song,Renee's Song,Bazzi,13iMiwdY7pgE1f7NwYKr1D,73,Sad
Renegades Of Funk,Renegades,Rage Against The Machine,5YBVDvTSSSiqv7KZDeUlXA,66,Energetic
Rescue Me,Rescue Me,DubVision,7DP18u679fMurjsUxuxMHu,57,Energetic
Retrospectacular,Retrospectacular,Domaine Blanc,58Z8R4KZPbfTc6KVYZLwTb,50,Calm
Revitalize,Unification,Yonder Dale,1sPC2IR2UwzYUrItFRE1H3,34,Calm
Ring The Alarm - Stadiumx Remix,Ring The Alarm (Remixes),Nicky Romero,3LmiKN6q3OwFD3sV8rhkk2,45,Energetic
Rise (ft. Matluck) - Thomas Gold Remix,Rise (ft. Matluck) [Thomas Gold Remix],Nicky Romero,24fghf9YPlSHoWKNHign8p,0,Energetic
River,Bones,St Woods,2mXnsGgq0K4qfcYmw0rccK,42,Sad
Riverside,Philharmonics,Agnes Obel,1UmFRZU3taMGZApPhK32mc,3,Sad
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,3gdewACMIVMEWVbyb8O9sY,82,Happy
Romance,Ex:Re,Ex:Re,7Ky78y9gxAKlujRin3vzZf,0,Sad
Roses,Speakerboxxx/The Love Below,OutKast,6bUNEbXT7HovLW6BgPCBsb,72,Happy
Rusted From the Rain,Billy Talent III,Billy Talent,0tzWCL2uhb2xQDWgG259nU,47,Energetic
Rylan,I Am Easy to Find,The National,18IyalmZGqUTwvZStMf7A1,56,Sad
Sad Corny Fuck,Hold It Together,JP Saxe,5YlHgqWo3Kt2mF88ubmR62,55,Sad
Sadness,Red Moon,Marynka,2aoxz8c3bHyDrZBhTKnTXh,33,Calm
Sahara Love - Seven Lions Remix,Sahara Love,Above & Beyond,6KjTXwntv8paBCL3El9TnV,52,Energetic
Same Direction,The Reason,Hoobastank,7p5HBV5kqLgw0vK0lQ7eXM,0,Energetic
Samson,Begin to Hope (Special Edition),Regina Spektor,2bbhyUWJ5VjdfI3P4PRLu2,51,Sad
Saving Daylight,Saving Daylight,Harvest Silence,0rDXZpaDpGMbT8ON1DxEtT,52,Calm
Savior,Appeal To Reason,Rise Against,3asFGFY3uLjMDmML1p0tYm,70,Energetic
Say Days Ago,The Used,The Used,0fcGdkaMVaJtPuYLB6bXRx,40,Energetic
Schloss,Schloss,Elmau Dunkel,07EmFV0AOKNsbtNonzmMJj,51,Calm
Secrets,Secrets,Erik Frank,3PGYOWmCia5R4iLRnGHwyf,57,Energetic
Send It,Send It,Steve Aoki,2GXOmuU3kApsq2TWqOU5Bm,60,Happy
Send Me on My Way,Music From Party of Five,Various Artists,6hs3SDnbO3f6VQuPO4KBEb,73,Happy
Seven Nation Army,Elephant,The White Stripes,3m6KkYKdnbffMpGd9Pm9FP,7,Happy
She Kind of Looks Like You,She Kind of Looks Like You,AFTRHOURS,6dZO9UMcM7c1YLDBpEHwED,41,Sad
She Remembers (Piano Solo),She Remembers (Piano Solo),Pieter Savenberg,2UaXTR0Xv4SCDQ6wIlVNxC,27,Calm
Shifts Of Light,Still Waters,Avery Young,0KN1zd8K3MTPQyix892mCf,53,Calm
Shimmer,The Best of Fuel,Fuel,6DzbmjkVZpz1mrDobAoJI8,57,Energetic
Shine,Shine,Manse,6YbVddGFPcfOVJrxhUusbV,54,Happy
Should Have Known Better,Carrie & Lowell,Sufjan Stevens,5I6y1KWmUoV5YCaIEcs1qs,65,Sad
Should I Stay or Should I Go - Remastered,Hits Back,The Clash,3v8PlUFGQQDBIk1J86waCo,68,Happy
Silhouette,Have You In My Wilderness,Julia Holter,4riNlzZh1Xd4xqbIWy7zfM,37,Sad
Silver Lining,Silver Lining,Pieter de Graaf,4w7vMUyVony198G1c79PSq,46,Calm
Simple Song,The Boy Who Cried Wolf,Passenger,70HWRkitkAKfos500LBk0T,62,Sad
Sinking Man - The Walking Dead Soundtrack,The Walking Dead (AMC’s Original Soundtrack – Vol. 1),Various Artists,5Hd6DPGjqihEnWSiGRzqr6,0,Sad
Sintra,Reflections,Made Of Gold,0b6iQfSLnYGz5VCzwndLz9,49,Calm
Siren Song - Radio Edit,Siren Song,CamelPhat,1uGXhKyK50NIXNqBKN73DS,39,Happy
Skinny Love,"For Emma, Forever Ago",Bon Iver,1NyFRrFiJAJIaR6icj1goI,67,Sad
Sleep,Son of a Lady,Hope Sandoval and the Warm Inventions,7C0naD1GsrGZTKGMbg7m7I,25,Sad
Slow It Down,The Lumineers,The Lumineers,0ewX9JsKy9oa4IifkFSroa,0,Sad
Smile,"Alright, Still (Deluxe)",Lily Allen,79z9QkhHePTFsSeVw9uyj0,75,Happy
Smooth Criminal,Anthology,Alien Ant Farm,2T3blUc9Jnui2a0ZhuNOag,0,Energetic
Snowfall,Piano Piano,Florejan,51USOvxeXLH3EvL3RwWJp7,31,Calm
Solitude,Solitude,Joep Beving,21UkknmSYISvDaQbaMIOgq,57,Calm
Some Kind Of Love,Wonderful Wonderful,The Killers,0vicQm86o7GnT42GdG34sA,55,Sad
Somebody - Josef Bamba Remix Radio Edit,Somebody (Josef Bamba Remixes),Oliver Ingrosso,5riuN21I50r717iOmCJ7Kr,42,Happy
Somebody That I Used To Know,Making Mirrors,Gotye,1qDrWA6lyx8cLECdZE7TV7,77,Happy
Someday,Chapter I,City of the Sun,5zOetBDO9NONS4KnIBXtnx,53,Calm
Someone Like You,21,Adele,6QPKYGnAW9QozVz2dSWqRg,79,Sad
Someone New,Someone New,Thomas Gold,2GkPTpFLY0NG8jrAHPoSnn,58,Happy
Somewhere Only We Know,Somewhere Only We Know,Valentin,1EwyAL8SdJpIX0M9b1ArAp,51,Sad
Son of a Lady,Son of a Lady,Hope Sandoval and the Warm Inventions,1mc5ECVjhFQUMzdsvX9gwf,23,Sad
"Song to the Siren - Recorded at Strongroom Studios, London",Spotify Singles,Wolf Alice,0hx6wJdPlMpT254F9UYQNu,42,Sad
South Beach,South Beach,Vicetone,4GQVsXO7jkxg43UmAd1Tbb,54,Energetic
Spirit In The Sky,Spirit In The Sky,Norman Greenbaum,7fqhrLJzKHJ0RW32N0y2Gp,0,Happy
Start Me Up - Remastered,Tattoo You (2009 Re-Mastered),The Rolling Stones,7HKez549fwJQDzx3zLjHKC,77,Happy
Stay,Stay,Gracie Abrams,0Uon5NsSAkBDx69XYOaQ5P,67,Sad
Stay Here,Stay Here,Olaars & Will Philips,69vYa2LVWv1TXvNIVNlJA1,52,Energetic
Stay Home,Stay Home,Golden Sleep,5NRWr6U9kBI3NP7Hr7fyy8,34,Calm
Stay Still,Stay Still,Alberto L. Ferro,12nlJypOUmAV4VQxFvfAw1,30,Calm
"Steady, As She Goes",Broken Boy Soldiers,The Raconteurs,2VAlwOewe5c40VHyqozF1V,1,Happy
Still Alive,Still Alive,Mastrovita,3Y6wj6dRP3QmgXeV2zCzbn,42,Energetic
Still Waiting to Start,"The Sun Will Come up, The Seasons Will Change & The Flowers Will Fall",Nina Nesbitt,1yERtbTiF9fKGxaelyLJOA,54,Sad
Stormy Weather,Stormy Weather,Lost Horse Mine,7oXWUVH2t0UR11AvhhY8GQ,50,Calm
Story Of A Violin,Story Of A Violin,Sandro Silva,3JjPOBCCKmvtgSsVIDqFDl,52,Happy
Strange Dreams,Solo Piano,Ella van der Woude,0YXPmthF2oHLQCYIGkSrZy,30,Calm
Streets,Rivals,Kensington,265poZGWCyWo6h5tq7kiA6,0,Happy
Stricken,Ten Thousand Fists,Disturbed,4VGUcTzWj0ebZ0UgI9irJL,0,Energetic
Stuck In The Middle With You,Reservoir Dogs (Original Motion Picture Soundtrack),Various Artists,1b7LMtXCXGc2EwOIplI35z,73,Happy
Stupify,The Sickness (10th Anniversary Edition),Disturbed,54cWVWqgyFukgDKQYmaKM3,61,Energetic
Such Great Heights,Around The Well,Iron & Wine,7vcuTZAFyu0Z5dgMRLR0h0,0,Sad
Suds & Soda,Worst Case Scenario,dEUS,0MaUnKwsHKRj4qjLDuBG66,42,Happy
Suhpratti,Hum,Parazal,4A6C6K8c8IukPda2f0rI8J,38,Calm
